Mission_ID,Book_Number,Module_Title,Mission_Title_HR,Prerequisite_Topic_IDs,Task,Materials,Observable_Success,Pages_Allocated,Suggested_Duration,Safety_and_Permission,Inclusion,Status
B1-M01-MISSION,1,Ja i moj dan,Moj plan za dobar dan,B1-001;B1-002;B1-003;B1-004;B1-005;B1-006,Plan a fictional school morning and one changed circumstance,Routine cards; paper clock,"A feasible order, one time buffer and a help request",4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B1-M02-MISSION,1,Moj dom i moje stvari,Mali kutak koji funkcionira,B1-007;B1-008;B1-009;B1-010;B1-011;B1-012,Organise a tabletop corner and care for its safe contents,Clean sample objects; paper labels,Can find an item and identify an adult-only task,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B1-M03-MISSION,1,Prvi koraci u kuhinji,Doručak koji mogu objasniti,B1-013;B1-014;B1-015;B1-016;B1-017;B1-018,Plan an allergy-aware cold breakfast and cleanup; food optional,Food picture cards; clean measuring cup,"Correct hygiene, adult check and no-heat sequence",4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B1-M04-MISSION,1,Moj prvi novac,Moj prvi mali plan novca,B1-019;B1-020;B1-021;B1-022;B1-023;B1-024,"Allocate teaching tokens to needs, wants and a saving goal",Paper euro tokens; price cards,Balanced token plan with a reasoned choice,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B1-M05-MISSION,1,Brinem se o sebi,Moj plan brige o sebi,B1-025;B1-026;B1-027;B1-028;B1-029;B1-030,"Improve a fictional day with hygiene, rest and accessible play",Routine and feeling cards,Names a supportive routine and when to seek help,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B1-M06-MISSION,1,Ja i drugi,Dogovor za zajedničku igru,B1-031;B1-032;B1-033;B1-034;B1-035;B1-036,"Agree fair roles, boundaries and a way to resolve disagreement",Paper game pieces; role cards,Respectful invitation and supported conflict response,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B1-M07-MISSION,1,Znam potražiti pomoć,Znam reći gdje sam i što se dogodilo,B1-037;B1-038;B1-039;B1-040;B1-041;B1-042,Practise emergency communication with a disconnected prop,Fictional map; inert phone prop,States key facts and never makes a real practice call,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B1-M08-MISSION,1,Pametno u digitalnom svijetu,Digitalni detektiv početnik,B1-043;B1-044;B1-045;B1-046;B1-047;B1-048,Sort safe/unsafe fictional messages and privacy choices,Printed screenshots without live links,Protects personal details and seeks adult help,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B1-M09-MISSION,1,Snalažim se oko sebe,"Mali izlet, dobar plan",B1-049;B1-050;B1-051;B1-052;B1-053;B1-054,"Plan an adult-led outing including weather, ticket and cleanup",Fictional map; weather and item cards,Feasible plan with adult contact and no hazardous waste handling,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B1-M10-MISSION,1,Učim i doprinosim,Naš novi izlet iznenađenja,B1-055;B1-056;B1-057;B1-058;B1-059;B1-060,Transfer the chapter-60 planning method to a different fictional outing with a weather change,Tokens; paper foods; new event cards,"Revises money, time, food and safety without unsafe improvisation",4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B2-M01-MISSION,2,Upravljam svojim danom,Tjedan s neočekivanim obratom,B2-001;B2-002;B2-003;B2-004;B2-005;B2-006,Replan a week after a timetable change,Planner; fictional commitment cards,Preserves essentials and explains one renegotiated task,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B2-M02-MISSION,2,Samostalnije kod kuće,Stanica za održavanje stvari,B2-007;B2-008;B2-009;B2-010;B2-011;B2-012,"Set up a safe plan for laundry, repair and cleaning; live work optional",Clean fabrics; label photos; inert tool pictures,"Separates safe own actions, adult support and professional help",4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B2-M03-MISSION,2,Mogu pripremiti obrok,"Obrok, cijena i pospremanje",B2-013;B2-014;B2-015;B2-016;B2-017;B2-018,"Plan a two-person meal including quantity, safety and waste",Tested recipe; teaching price cards,"Feasible quantities, storage and allergy plan",4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B2-M04-MISSION,2,Upravljam džeparcem,Mjesec džeparca pod kontrolom,B2-019;B2-020;B2-021;B2-022;B2-023;B2-024,Run a token budget with recurring costs and a scam message,Budget sheet; tokens; printed mock scam,Balances spending and stops the scam safely,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
