Product_ID,Book_or_Series,Product_Name,Audience,Scope_and_Format,Release_Stage,Dependencies,Commercial_Model_Proposed,Release_Gate,Status,Source_IDs,Source_URLs
B1-BOOK,B1,"Mali koraci, velike vještine",Families / readers,60 skills; 10 modules; 10 missions; 192 pages; 190 x 240 mm proposed,Trade target 2027-06-15,Shared design; complete reviews; print proof,Paid trade book; direct sales and negotiated distribution,No unresolved safety/legal issues; signed proof; quote-based cash gate,PLANNED - not produced,S24;S25;S26,https://nsk.hr/nakladnici/hrvatski-ured-za-isbn/ | https://nsk.hr/nakladnici/cip/ | https://nsk.hr/nakladnici/obvezni-primjerak/
B1-PG,B1,Vodič za roditelje i skrbnike,Adults supporting the reader,Approx. 24 pages; prompts for all 60 skills grouped by module; boundaries; no-cost alternatives,With trade book,B1-BOOK approved content,Accessible downloadable companion; printed add-on only after demand,Reviewed family-neutral language and topic-index coverage,PLANNED - not produced,S27,https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
B1-CARDS,B1,Kartice za životne vještine,Families; later approved classrooms,72 cards: 60 skill prompts + 10 mission prompts + 2 instruction cards; answer/support on reverse,Printable with launch; physical deck only after demand,B1-BOOK; shared card templates,Print-at-home base; paid boxed deck after quote/MOQ gate,All safety labels retained; no unsafe challenge or misleading certification,PLANNED - not produced,,
B1-WORKSHEETS,B1,Radni listovi i rješenja,Readers / approved teacher use,60 low-ink A4 worksheets; separate adult answer notes; offline alternatives to all web tasks,With trade book,B1-BOOK approved topic assets,Base download; classroom copying licence reviewed separately,No essential task paywall; no real private-data collection,PLANNED - not produced,S16;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
B1-PASSPORT,B1,Putovnica vještina,Readers / caregivers,12-page optional private tracker for 60 skills; help-seeking counts; no public ranking,With trade book,B1-BOOK; assessment rubric,Printable included; optional print add-on,"Not a qualification, school grade or diagnostic readiness test",PLANNED - not produced,,
B1-TG,B1,Vodič za učitelje i nastavnike,Educators,Approx. 96 pages: 60 lesson briefs; 12-lesson starter path; 35-session club option; rubric; differentiation; curriculum matrix,Draft after pilot; formal school version after classification route,B1-BOOK; curriculum review; classroom feasibility checks,Free evaluation excerpt; full guide/licence pricing researched; no inducements,Exact grade mapping reviewed; classroom route legally cleared,PLANNED - not produced,S01;S02;S03;S04;S05;S06;S07;S16;S17,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/
B1-EDU,B1,Obrazovno izdanje - candidate,Approved school use if accepted,Stable content core + teacher guide + lesson/assessment package; edition and approval scope separately controlled,B1: candidate 2028/2029; B2/B3: candidate 2029/2030,B1-TG; written AZOO classification; complete dossier,Paid educational material only after required route and selection,No approval claims before written decision; repository and funding checked separately,PLANNED - not produced,S15;S16;S17;S18;S19;S20,https://narodne-novine.nn.hr/clanci/sluzbeni/2025_07_105_1477.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.azoo.hr/app/uploads/2020/11/Postupak-za-objavu-DOM-a.pdf | https://www.azoo.hr/app/uploads/2020/10/Izmjena-postupka.pdf | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/agencija-za-odgoj-i-obrazovanje-objavljuje-katalog-odobrenih-drugih-obrazovnih-materijala/
B1-AUDIO,B1,Slušaj i prati,Readers needing audio or preferring co-reading,Human-reviewed chapter audio and transcripts; safety labels spoken; captions for any video,After trade stabilization,B1-BOOK frozen text; narration rights,Accessible companion; scope depends on quote,Pronunciation and safety review; no audio-only replacement for visual safety detail,PLANNED - not produced,,
B1-CLASSKIT,B1,Kutija za radionice - candidate,Schools / libraries / facilitators,"Guide; reusable cards; worksheets; only inert safe props; no tools, chemicals or electrical hardware",After approved guide and demand,B1-TG; applicable approvals; workshop insurance,Institutional licence and replenishable print kit if viable,"No food, medical, mechanical or electrical kit without separate compliance",PLANNED - not produced,S16;S17;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
B2-BOOK,B2,Mogu više!,Families / readers,60 skills; 10 modules; 10 missions; 224 pages; 190 x 240 mm proposed,Trade target 2028-02-15,Shared design; complete reviews; print proof,Paid trade book; direct sales and negotiated distribution,No unresolved safety/legal issues; signed proof; quote-based cash gate,PLANNED - not produced,S24;S25;S26,https://nsk.hr/nakladnici/hrvatski-ured-za-isbn/ | https://nsk.hr/nakladnici/cip/ | https://nsk.hr/nakladnici/obvezni-primjerak/
