Risk_ID,Risk,Severity,Stop_or_Review_Trigger,Prevention_and_Response,Required_Evidence,Owner_Role,Gate,Status,Source_IDs,Source_URLs
R-001,Unsafe first-aid instruction,CRITICAL,Unreviewed steps or peer practice,Qualified instructor checks every step and diagram; use mannequins/inert props; remove any unvalidated protocol,Signed dated clinical/safety review and instructor lesson plan,First-aid lead,Before any trial or publication,OPEN - controls planned,S07;S28;S33,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://www.hck.hr/kako-pomoci/mali-programi/prva-pomoc-10551/10551 | https://civilna-zastita.gov.hr/kontakti/podrucni-ured-civilne-zastite-split/edukacija-djece-povodom-dana-europskog-broja-112/9113
R-002,Unsafe jump-start or vehicle lifting,CRITICAL,Generic vehicle-independent procedure or unsupervised minor activity,"Require exact vehicle and booster manuals, qualified technician, controlled environment and clear stop/call-help route; no HV or roadside practice",Specific-manual references; technician sign-off; photographed inert prototype checked,Automotive lead,"Before artwork, filming, trial or release",OPEN - controls planned,S30,https://www.fordservicecontent.com/Ford_Content/vdirsnet/OwnerManual/Home/Content?ProcUid=G2099248&Uid=G2099247&countryCode=USA&languageCode=en&vFilteringEnabled=False&variantid=7983
R-003,"Food poisoning, burns or allergen exposure",CRITICAL,Recipe untested or allergy controls absent,Test recipe and all safety checkpoints; provide paper/no-food equivalent; no unsafe substitutions,"Test records, allergen matrix and food-safety sign-off",Food editor,Before cooking pilots and print,OPEN - controls planned,S29,https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/
R-004,"Electrics, gas, tools or household chemicals misused",CRITICAL,"Activity requires regulated work, mixing or uncontrolled heat/height",Keep hazardous work at recognise-stop-call scope; adult control of low-risk tools; specialist review,Risk assessment for each practical task and approved alternatives,Safety editor,Before pilot or illustration sign-off,OPEN - controls planned,,
R-005,Safeguarding or distress during sensitive lessons,CRITICAL,"Forced disclosure, coercive role-play or no reporting route","Use fictional scenarios, opt-out/support alternatives, school-approved safeguarding routes and trained facilitator",Safeguarding protocol and content review,Safeguarding lead,Before participant recruitment,OPEN - controls planned,S27,https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
R-006,Children treated as unpaid product testers without protections,HIGH,"Pilot recruitment lacks permission, assent or appropriate oversight","Seek school/legal route, parent permission where required and child assent; minimise burden; no grades or sales pressure","Approved information sheet, privacy basis and withdrawal process",Pilot lead,Before any pilot,OPEN - controls planned,S16;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
R-007,False ministry or institutional endorsement,HIGH,Cover/marketing implies approval or partnership not granted,Use precise independently developed wording; keep curriculum alignment and official approval separate,Approved claims checklist and written permissions for any logo,Publisher counsel,Before outreach or publication,OPEN - controls planned,S16;S17,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/
R-008,School acquisition used as assumed revenue,HIGH,Budget relies on approved-list status or future policy expansion,Forecast trade and school channels separately; zero guaranteed school orders; only signed purchases enter committed cash,Quote-driven model and documented actual orders,Commercial lead,Before printing or expanding,OPEN - controls planned,S20;S21,https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/agencija-za-odgoj-i-obrazovanje-objavljuje-katalog-odobrenih-drugih-obrazovnih-materijala/ | https://narodne-novine.nn.hr/eli/sluzbeni/2026/81/969
R-009,Missed AZOO window or wrong submission format,HIGH,No complete dossier near 31 March,Verify deadline and current delivery mode; readiness gate 3 weeks earlier; defer rather than rush,"Current written checklist, final files and receipt",Educational-edition lead,Before submission,OPEN - controls planned,S17;S18;S19,https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.azoo.hr/app/uploads/2020/11/Postupak-za-objavu-DOM-a.pdf | https://www.azoo.hr/app/uploads/2020/10/Izmjena-postupka.pdf
R-010,Wrong legal entity or retail/tax setup,HIGH,ISBN registration mistaken for permission for ongoing sales,"Accountant/counsel checks publisher, commerce, VAT, invoicing, consumer and privacy duties independently",Written setup decision and tested compliant checkout/invoice,Publisher counsel and accountant,Before taking payments,OPEN - controls planned,S16;S24,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://nsk.hr/nakladnici/hrvatski-ured-za-isbn/
