Policy_ID,Policy_or_Route,Status_As_Of_2026_09_22,Verified_Fact_or_Limitation,Product_Implication_Proposed,Next_Action,Go_No_Go_Trigger,Deadline_or_Review_Date,Owner_Role,Source_IDs,Source_URLs,Commercial_Assumption
POL-01,Seven cross-curricular themes and 2025 implementation guidance,IN FORCE / GUIDANCE,Existing themes span all school levels; 5 February 2025 guidance supports implementation,"Make teacher time-saving and observable practice the school proposition, not a claim of a new compulsory subject","Use grade-specific source codes, evidence and 45-minute lesson options; educator signs each mapping",Mapping confirmed for actual grade and route,2026-10-30; again before each educational edition,Curriculum lead,S01;S02;S03;S04;S05;S06;S07;S08,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://mzom.gov.hr/print.aspx?id=7472&url=print,"No guaranteed approval, school selection, public funding or sales"
POL-02,Experimental whole-day school and Praktične vještine,EXPERIMENTAL; FUTURE SCALE NOT VERIFIED,Official programme identifies 62 schools and 2023/2024-2026/2027 pilot; practical-skills subject in grades 1-4,B1 can offer age-specific practical activities; older books can fit locally approved extracurricular/project routes,"Track MZOM decisions; ask schools about actual timetable, facilities and authorised procurement",Written applicable programme/route; never assume universal 2027/2028 rollout,Quarterly from 2026-10-01,Policy lead,S09;S10;S11,https://mzom.gov.hr/UserDocsImages//dokumenti/Obrazovanje/OsnovneSkole//Eksperimentalni-kurikulum-nastavnog-predmeta-Prakticne-vjestine-za-osnovne-skole.pdf | https://gov.hr/?id=2591 | https://mzom.gov.hr/cjelodnevna-skola-7470/7470,"No guaranteed approval, school selection, public funding or sales"
POL-03,2026 elementary-school device restrictions,ENACTED,"Device restrictions include school-approved educational, health and other exceptions; secondary setting differs","Offline-first book, cards and complete printed lessons; optional teacher-controlled digital enrichment",Review school permission language and remove mandatory QR/device requirements,Every lesson works without a personal device or account,Before prototype and every guide release,Pedagogy and privacy leads,S12;S27,https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/,"No guaranteed approval, school selection, public funding or sales"
POL-04,CARNET BrAIn grade-5-through-high-school curriculum expansion,ACTIVE; SEPTEMBER 2026 UPDATE,New upper-secondary curriculum completes grade coverage; primary extracurricular and secondary optional routes; 35 hours annually,"Add age-progressive AI verification and privacy activities in B2/B3; a 35-session club option can complement, not claim to replace, official curriculum",Obtain exact BrAIn outcomes from official curriculum; map selected lessons; approach only authorised school contacts,Evidence of fit and lawful use; no CARNET affiliation claim,Participation call reported open through 2029-09-01; check quarterly,Digital curriculum lead,S13,https://www.carnet.hr/carnet-ov-projekt-brain-od-ove-skolske-godine-kurikuli-o-umjetnoj-inteligenciji-dostupni-od-5-razreda-osnovne-do-kraja-srednje-skole/,"No guaranteed approval, school selection, public funding or sales"
POL-05,Modular vocational education,ACTIVE REFORM,ASOO provides modular teaching resources; 2025 statute explicitly addresses modules,"Book 3 can supply transferable work, money, communication and safety cases across selected qualifications",Choose two pilot qualification families; map actual SIU; consult vocational teachers on what does not fit; confirm ASOO route for vocational-subject material separately from general cross-curricular edition,Qualification-specific expert sign-off; do not market as an approved module textbook,Before B3 educational dossier,Vocational curriculum lead,S14;S15;S34,https://www.asoo.hr/obrazovanje/strukovno-obrazovanje/modularna-nastava/ | https://narodne-novine.nn.hr/clanci/sluzbeni/2025_07_105_1477.html | https://www.asoo.hr/obrazovanje/strukovno-obrazovanje/drugi-obrazovni-materijali/,"No guaranteed approval, school selection, public funding or sales"
POL-06,AZOO commercial other-educational-material classification,REGULATED ROUTE,Base statute uses legal-person route for commercial submissions; free-material route differs; ASOO is competent for vocational-subject materials in vocational secondary schools,"Maintain separate trade, evaluation and formal school-edition SKUs and claims","Ask AZOO in writing about cross-curricular/multi-grade standalone material, guides, card decks, digital extras, applicant and fees; counsel checks amendments",Written classification and applicant eligibility resolved before offering formal classroom material,Start 2026-10-05; reconfirm before filing,Publisher counsel and curriculum lead,S15;S16;S17;S20;S34,https://narodne-novine.nn.hr/clanci/sluzbeni/2025_07_105_1477.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/agencija-za-odgoj-i-obrazovanje-objavljuje-katalog-odobrenih-drugih-obrazovnih-materijala/ | https://www.asoo.hr/obrazovanje/strukovno-obrazovanje/drugi-obrazovni-materijali/,"No guaranteed approval, school selection, public funding or sales"
POL-07,AZOO filing deadline and 2024 delivery amendment,PUBLISHED PROCEDURE; CONFIRM CURRENT IN WRITING,Procedure states 31 March for following school year; 2024 amendment permits USB and/or link electronic delivery with written submission,Optional fully ready 12-lesson sampler for 2027/2028; mature B1 route for 2028/2029; B2/B3 later,Obtain current checklist; freeze sampler by 2027-03-10 only if safe and complete; log receipt,No rushed submission; defer incomplete work to next cycle,2027-03-31 optional sampler; 2028-03-31 B1; 2029-03-31 B2/B3; dates apply to AZOO route only; ASOO timing separately confirmed,School-edition project lead,S17;S18;S19,https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.azoo.hr/app/uploads/2020/11/Postupak-za-objavu-DOM-a.pdf | https://www.azoo.hr/app/uploads/2020/10/Izmjena-postupka.pdf,"No guaranteed approval, school selection, public funding or sales"
POL-08,Annual financing of other educational materials,2026/2027 DECISION ONLY,2026/2027 decision names eligible pupil groups and experimental whole-day schools; future decisions not verified,"Build clear SKUs, prices, copying licences and procurement documentation; offer low-consumable routes",Monitor next annual decisions and school-specific selection; build commercial plan without assumed subsidy,"Actual eligible buyer, selection, lawful purchase order and funding confirmed",At each new annual decision,Commercial and school-channel lead,S21;S16,https://narodne-novine.nn.hr/eli/sluzbeni/2026/81/969 | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html,"No guaranteed approval, school selection, public funding or sales"
POL-09,Consumer financial-literacy strategy after 2026,CURRENT 2021-2026 FRAMEWORK; SUCCESSOR UNVERIFIED,Official hub publishes current framework/action plans; no successor relied on in this plan,"Use age-progressive needs/wants, budget, debt and consumer-safety content; stable skills plus updateable examples",Monitor Ministry of Finance/HNB; map a successor only when published; enquire about educational review without assuming endorsement,Published official successor or written programme criteria,Monthly 2026-10 through 2027-06; then quarterly,Financial curriculum lead,S22;S31,https://mfin.gov.hr/istaknute-teme/financijska-trzista-i-financijska-pismenost/financijska-pismenost-potrosaca/3293 | https://www.hnb.hr/-/kada-i-kako-s-djecom-uciti-o-financijama-petra-sparica,"No guaranteed approval, school selection, public funding or sales"
POL-10,Special and inclusive education guidance,"OFFICIAL GUIDANCE, NOVEMBER 2025",Special curricula and daily-living skills have their own context and implementation guidance,Build inclusive mainstream adaptations now; specialist editions only with appropriate experts,"Engage special educator; test supported communication, low-ink/large-print and motor alternatives",User testing and expert review; no blanket special-curriculum compliance claim,Prototype and every edition,Accessibility lead,S23,https://mzom.gov.hr/print.aspx?id=7324&url=print,"No guaranteed approval, school selection, public funding or sales"
