Source_ID,Authority,Title,URL,Publication_Date,Status_As_Of_2026_09_22,Supports,Limitations,Next_Review,Verified_As_Of
S01,MZOM / Narodne novine,Poduzetništvo curriculum,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,2019-01-22,Official curriculum,Financial literacy and entrepreneurship; cycle definitions; verified candidate codes,2019 examples need current currency and law review; not approval of this series,Before publication and every 6 months,2026-09-22
S02,MZOM / Narodne novine,Osobni i socijalni razvoj curriculum,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2019-01-22,Official curriculum,Communication; relationships; self-management; education and career pathways,Selected codes only; proposed chapter mappings need educator sign-off,Before publication and every 6 months,2026-09-22
S03,MZOM / Narodne novine,Učiti kako učiti curriculum,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,2019-01-22,Official curriculum,Learning strategies; planning; information evaluation; combined 4/5 cycle codes,Do not mechanically split every combined high-school code into separate cycles,Before publication and every 6 months,2026-09-22
S04,MZOM / Narodne novine,Uporaba IKT-a curriculum,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html,2019-01-22,Official curriculum,Responsible technology use; privacy; searching and evaluating information,Digital safety content still requires current technical review,Before publication and every 6 months,2026-09-22
S05,MZOM / Narodne novine,Održivi razvoj curriculum,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,2019-01-22,Official curriculum,Resources; practical environmental actions; community projects,"Use detailed expectations, not just summary tables; some summary labels repeat",Before publication and every 6 months,2026-09-22
S06,MZOM / Narodne novine,Građanski odgoj i obrazovanje curriculum,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html,2019-01-29,Official curriculum,Rights; community participation; institutions; civic information,Keep civic activities nonpartisan; never assess pupils by political preferences,Before publication and every 6 months,2026-09-22
S07,MZOM / Narodne novine,Zdravlje curriculum,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,2019-01-29,Official curriculum,Nutrition; hygiene; development; hazard recognition; first-aid learning,Curriculum is not a clinical protocol; obtain current qualified health review,Before publication and every 6 months,2026-09-22
S08,MZOM,Cross-curricular implementation guidance and experimental curricula,https://mzom.gov.hr/print.aspx?id=7472&url=print,2025-02-05,Official guidance,Seven cross-curricular themes; implementation guidance published 5 February 2025,Guidance is distinct from a new compulsory standalone life-skills subject,Before publication and every 6 months,2026-09-22
S09,MZOM,Experimental Praktične vještine curriculum,https://mzom.gov.hr/UserDocsImages//dokumenti/Obrazovanje/OsnovneSkole//Eksperimentalni-kurikulum-nastavnog-predmeta-Prakticne-vjestine-za-osnovne-skole.pdf,2023-07-03,Experimental curriculum,Primary grades 1-4; practical making and tool use; verified grade-3 anchors on PDF pp.16 and 18,Applies in experimental context; not evidence of universal implementation,Before publication and every 6 months,2026-09-22
S10,Government of Croatia,Whole-day elementary school programme,https://gov.hr/?id=2591,,Experimental programme through 2026/2027,62-school pilot; A1/A2/B1/B2 structure; practical-skills subject in grades 1-4,2027 infrastructure ambition is not proof of a universal start date or purchasing commitment,Quarterly and before school proposals,2026-09-22
S11,MZOM,Whole-day school programme hub,https://mzom.gov.hr/cjelodnevna-skola-7470/7470,,Official programme hub,Programme documents and school activity routes,Check latest decisions; do not infer publisher eligibility from school funding,Monthly during 2026-2028,2026-09-22
S12,MZOM / Narodne novine,2026 school-device rule amendment,https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257,2026-03-05,Enacted rule,"Primary-school device restrictions with school-approved educational, health and other exceptions",Not a blanket prohibition on approved educational technology; high-school rules differ,Before each teacher-guide edition,2026-09-22
S13,CARNET,BrAIn curricula now cover grade 5 through end of high school,https://www.carnet.hr/carnet-ov-projekt-brain-od-ove-skolske-godine-kurikuli-o-umjetnoj-inteligenciji-dostupni-od-5-razreda-osnovne-do-kraja-srednje-skole/,2026-09-01,Active programme; September 2026 expansion,Primary extracurricular and high-school optional routes; 35 hours; participation through 1 September 2029,Not compulsory AI for every pupil; not a publishing grant or endorsement,Every 3 months,2026-09-22
S14,ASOO,Modular vocational teaching hub,https://www.asoo.hr/obrazovanje/strukovno-obrazovanje/modularna-nastava/,,Active vocational reform,Qualification-specific modular curricula and implementation resources,Book 3 is not automatically a vocational module textbook; map actual qualification and SIU,Quarterly and at high-school edition freeze,2026-09-22
S15,Croatian Parliament / Narodne novine,Textbook and educational-material amendments 2025,https://narodne-novine.nn.hr/clanci/sluzbeni/2025_07_105_1477.html,2025-07-23,Enacted law,Module-based textbooks; amendments affecting educational materials,Read with base law and other amendments; not a consolidated legal opinion,Before publication and every 6 months,2026-09-22
S16,Croatian Parliament / Narodne novine,Textbooks and other educational materials act 2018,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html,2018-12-21,"Base statute, amended subsequently",Article 16 commercial-material route and competent agency distinction; article 18 school donation/conflict restrictions,Not current standalone consolidated text; obtain counsel review with amendments,"Before pilots, contracts and any school submission",2026-09-22
S17,AZOO,Procedure for repository publication,https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/,,Published administrative procedure,"Process, forms and linked 2024 amendment","Confirm fees, current channel, multi-grade classification and complete submission requirements in writing",Immediately; again 60 days before submission,2026-09-22
S18,AZOO,"Original repository procedure, dated 13 October 2020",https://www.azoo.hr/app/uploads/2020/11/Postupak-za-objavu-DOM-a.pdf,2020-10-13,Published base procedure,Page 1: 31 March filing deadline for following school year; required materials; page 2 review process,Electronic delivery paragraph updated in 2024; operational turnaround not guaranteed,Confirm annual deadline with AZOO,2026-09-22
S19,AZOO,"Repository procedure amendment, dated 5 February 2024",https://www.azoo.hr/app/uploads/2020/10/Izmjena-postupka.pdf,2024-02-05,Published amendment,Written submission plus electronic USB and/or link; updated attachment checklist,"Despite 2020 URL path, document itself is dated 2024; other provisions unchanged",Before submission,2026-09-22
S20,AZOO,Approved educational-material repository,https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/agencija-za-odgoj-i-obrazovanje-objavljuje-katalog-odobrenih-drugih-obrazovnih-materijala/,,Active repository,Primary list updated 9 September 2026; subject teaching 16 September 2026; secondary 24 July 2026,Listing is distinct from school selection and funding,Monthly during submission window,2026-09-22
S21,Government / Narodne novine,2026/2027 other-educational-material financing decision,https://narodne-novine.nn.hr/eli/sluzbeni/2026/81/969,2026-07-24,Enacted annual financing decision,Specified eligible pupil groups and experimental whole-day schools,Not universal free workbooks; no guaranteed demand or direct grant for this project,At next annual decision,2026-09-22
