Topic_ID,Book_Number,Book_Title,Module_ID,Module_Title,Topic_Number,Chapter_Title_HR,Target_Grades,Cycle_Context,Learning_Outcome_Draft,Offline_Activity,Observable_Success_Check,Supervision_Tier,Safety_Boundary,Expert_Review_Required,Theme_Tags,Curriculum_Status,Curriculum_Map_IDs,Core_Pages,Lesson_Minutes_Planning_Assumption,Lower_Readiness_Adaptation,Higher_Readiness_Extension,Companion_Asset_IDs,Digital_Optional,Evidence_And_Update_Notes,Source_IDs,Source_URLs,Authoring_Status
B3-001,3,Spremni za samostalan život,B3-M01,Novac za stvarni život,1,"Bruto, neto i moja prva platna lista",SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,"Read a payslip and distinguish gross pay, deductions and take-home pay",Annotate a fictional dated Croatian payslip example,Explains major lines and identifies what needs current verification,L - low-risk paper/ordinary activity,No real payslips or tax advice; accountant verifies rates before publication,Croatian payroll accountant,POD;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-001-W01;B3-001-C01;B3-001-TG;B3-001-PG;B3-M01-MISSION,B3-001-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B3-002,3,Spremni za samostalan život,B3-M01,Novac za stvarni život,2,Mjesečni budžet koji podnosi iznenađenje,SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,"Budget fixed, variable and irregular costs against uncertain income",Balance a fictional monthly budget and apply an unexpected bill,Revises spending while preserving essentials and explains the trade-off,L - low-risk paper/ordinary activity,No income disclosure or assumption of parental financial support,Financial-literacy educator,POD;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-002-W01;B3-002-C01;B3-002-TG;B3-002-PG;B3-M01-MISSION,B3-002-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B3-003,3,Spremni za samostalan život,B3-M01,Novac za stvarni život,3,"Račun, plaćanje i zaštita identiteta",SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,"Compare account fees, payment methods and identity safeguards",Review fictional fee sheets and a safe payment workflow,"Identifies cost, authentication and dispute/help questions",L - low-risk paper/ordinary activity,"No live bank access, real IDs, credentials or account-opening task",Banking and cybersecurity reviewers,POD;IKT,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-006;CM-007,2,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-003-W01;B3-003-C01;B3-003-TG;B3-003-PG;B3-M01-MISSION,B3-003-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S04;S12;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html | https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/,PLANNED - not drafted or professionally validated
B3-004,3,Spremni za samostalan život,B3-M01,Novac za stvarni život,4,"Kredit, EKS i cijena odgode",SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,"Compare total repayment, effective annual cost and consequences of missed payment",Compare fictional credit and instalment offers with supplied schedules,"Identifies total cost, key conditions and when independent advice is needed",L - low-risk paper/ordinary activity,"No borrowing, investment leverage or lender recommendations; current law review",Consumer-credit lawyer or financial educator,POD;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-006;CM-007;CM-025,4,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-004-W01;B3-004-C01;B3-004-TG;B3-004-PG;B3-M01-MISSION,B3-004-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B3-005,3,Spremni za samostalan život,B3-M01,Novac za stvarni život,5,"Pričuva, štednja i inflacija",SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,"Explain emergency savings, access, risk and purchasing power",Plan a fictional savings buffer under two price-change scenarios,"Distinguishes liquidity, inflation and uncertain future costs",L - low-risk paper/ordinary activity,No universal required savings amount or guaranteed return,Financial-literacy educator,POD;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-006,2,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-005-W01;B3-005-C01;B3-005-TG;B3-005-PG;B3-M01-MISSION,B3-005-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B3-006,3,Spremni za samostalan život,B3-M01,Novac za stvarni život,6,Ulaganje i mirovina bez čarobnih obećanja,SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,"Explain diversification, fees, risk and long-term retirement concepts",Compare fictional product descriptions and spot unrealistic promises,Explains possible losses and identifies missing fee/risk information,L - low-risk paper/ordinary activity,"No security recommendations, crypto promotion, simulated gambling or promises of profit",Independent qualified financial reviewer,POD;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-006,4,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-006-W01;B3-006-C01;B3-006-TG;B3-006-PG;B3-M01-MISSION,B3-006-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B3-007,3,Spremni za samostalan život,B3-M02,"Učenje, posao i zarada",7,Životopis koji govori konkretno,SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,Create an honest skills-based CV and assess job-search channels,Write a CV for a fictional candidate using evidence from projects,Links skills to examples and omits unnecessary sensitive data,L - low-risk paper/ordinary activity,No invented experience or publication of minors' contact information,Career counsellor,OSR;POD;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-019,4,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-007-W01;B3-007-C01;B3-007-TG;B3-007-PG;B3-M02-MISSION,B3-007-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S02;S01;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B3-008,3,Spremni za samostalan život,B3-M02,"Učenje, posao i zarada",8,Razgovor za posao i pitanja poslodavcu,SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,"Prepare examples, questions and respectful negotiation",Run a mock interview for a fictional age-appropriate role,"Asks about duties, pay, supervision and conditions",L - low-risk paper/ordinary activity,"No real recruitment, discriminatory questions or unpaid test labour",Career counsellor,OSR;POD,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-019,2,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-008-W01;B3-008-C01;B3-008-TG;B3-008-PG;B3-M02-MISSION,B3-008-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S02;S01,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,PLANNED - not drafted or professionally validated
B3-009,3,Spremni za samostalan život,B3-M02,"Učenje, posao i zarada",9,Prije potpisa: ugovor i radna prava,SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,Identify contract essentials and age-specific work restrictions,Annotate a fictional contract and flag items for advice,"Finds pay, hours, termination, safety and missing-information issues",L - low-risk paper/ordinary activity,Croatian labour/student-work law specialist validates current rules; no signing,Labour-law specialist,GOO;POD;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-009-W01;B3-009-C01;B3-009-TG;B3-009-PG;B3-M02-MISSION,B3-009-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S06;S01;S02,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,PLANNED - not drafted or professionally validated
B3-010,3,Spremni za samostalan život,B3-M02,"Učenje, posao i zarada",10,"Račun, porez i evidencija zarade",SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,Recognise basic recordkeeping and when professional advice is needed,"Organise fictional invoices, receipts and income records","Distinguishes revenue, expenses and questions for an accountant",L - low-risk paper/ordinary activity,"No tax-evasion tactics, live business registration or assumed legal eligibility",Croatian accountant,POD;GOO;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-010-W01;B3-010-C01;B3-010-TG;B3-010-PG;B3-M02-MISSION,B3-010-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S06;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
