Design_ID,Area,Rule,Specification,Acceptance_Test,Applies_To,Status
DS-001,Positioning,"A practical set, not three unrelated textbooks","Promise: Znam probati. Znam provjeriti. Znam kada tražiti pomoć. Friendly, capable and non-preachy",A child and an adult can describe the common purpose from the covers,All three books and companions,PROPOSED - validate through print and reader tests
DS-002,Format,One trim across the series,Proposed 190 x 240 mm portrait; print quote may adjust all three together before template freeze,Same trim and aligned title/spine elements in full-size mockups,All three books and companions,PROPOSED - validate through print and reader tests
DS-003,Page architecture,Predictable book structure,10 modules x 6 skills; 20 module-opening pages; 40 mission pages; 12 front/back pages; B1 120 / B2 152 / B3 184 skill pages,Totals are exactly 192 / 224 / 256; no unbudgeted insert pages,All three books and companions,PROPOSED - validate through print and reader tests
DS-004,Cover,One master grid,Top series title; large numeral 1/2/3 in fixed position; age-band line; individual subtitle; central practical illustration; common author/imprint position,"Thumbnail, grayscale and 3-book shelf test",All three books and companions,PROPOSED - validate through print and reader tests
DS-005,Spines,Recognisable even when books are shelved,"Common baseline for series title, large book numeral, repeating tool/path icon and imprint; measure final spine from printer",Legible at actual spine width; do not invent width from page count alone,All three books and companions,PROPOSED - validate through print and reader tests
DS-006,Palette,Shared neutral base plus one accent per age band,"Warm off-white background, charcoal text; proposed B1 teal #0B6F6D, B2 ochre #936000, B3 rust #A23F2B; proof CMYK conversion",Body text remains high-contrast; no meaning communicated by colour alone,All three books and companions,PROPOSED - validate through print and reader tests
DS-007,Typography,One licensed type family with Croatian coverage,Prototype with a readable humanist sans family supporting č ć š ž đ; verify licence and full glyph set; no condensed body text,Print test Croatian diacritics; font licence archived; no font files distributed to customers,All three books and companions,PROPOSED - validate through print and reader tests
DS-008,Type size,"Progressive density, same family",Starting body targets B1 13.5-14.5 pt; B2 12-13 pt; B3 11.5-12.5 pt; generous leading; never shrink safety text to fit,"Actual-size reading tests include younger, older and support-needing readers",All three books and companions,PROPOSED - validate through print and reader tests
DS-009,Grid,Shared spread structure with generous margins,Two-column logic with flexible illustration zone; outer safety rail; margins and bleed confirmed with printer,No text in gutter/trim danger; no crowded double spread,All three books and companions,PROPOSED - validate through print and reader tests
DS-010,Chapter opening,A real situation before terminology,Open with a concrete question; show why it matters; one observable skill goal,Reader can state the task without adult translation,All three books and companions,PROPOSED - validate through print and reader tests
DS-011,Chapter labels,Repeat six navigational labels,Situacija / Što trebam / Koraci / Zastani i provjeri / Isprobaj / Što sada znaš?,Same order except justified documented safety adaptation,All three books and companions,PROPOSED - validate through print and reader tests
DS-012,Two-page chapter,Compact base lesson,"Page 1 scenario and illustrated steps; page 2 practice, safety stop and quick self-check; answer notes in guide",No essential information exists only behind a QR code,All three books and companions,PROPOSED - validate through print and reader tests
DS-013,Four-page chapter,"Extra room for complexity, not longer lectures",Add worked example and alternative/decision-tree page; preserve the same six labels,Extra pages are linked to a genuine practice or safety need,All three books and companions,PROPOSED - validate through print and reader tests
DS-014,Safety,Three tiers with words and shapes,"L: low-risk, rounded label; A: adult-supervised, hand icon; P: qualified instructor, shield icon; colour supplementary only","Every relevant page, card, worksheet, audio and video retains its tier",All three books and companions,PROPOSED - validate through print and reader tests
