Map_ID,Official_Source_ID,Official_Code,Official_Cycle_Or_Grade,Official_Anchor_English_Paraphrase,Proposed_Topic_IDs,Proposed_Teaching_Route,Observable_Evidence,Alignment_Status,Coverage_Limitation,Required_Signoff,Source_URLs,Verified_As_Of
CM-001,S01,pod C.1.3.,1: OŠ 1-2,Function of money,B1-020;B1-021,Cross-curricular money lesson,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Not the whole financial-literacy curriculum; use concrete teaching tokens,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,2026-09-22
CM-002,S01,pod C.2.2.,2: OŠ 3-5,"Market exchange, prices and commercial messages",B1-023;B1-024;B2-020,Mathematics / cross-curricular,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Book 2 connection here is grade 5 only; older pupils need cycle-3 expectations,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,2026-09-22
CM-003,S01,pod C.2.3.,2: OŠ 3-5,Money in everyday life; planned spending and saving,B1-019;B1-022;B2-019,Mathematics / entrepreneurship,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Separate grade 3-4 and grade-5 scaffolds; fictional household finances only,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,2026-09-22
CM-004,S01,pod C.3.3.,3: OŠ 6-8,Management of personal finances,B2-019;B2-021;B2-022;B2-023,Cross-curricular / class meeting,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",2019 examples need updated euro and legal terminology; not a complete banking curriculum,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,2026-09-22
CM-005,S01,pod C.3.1.;pod C.3.2.,3: OŠ 6-8,Project/product development and required resources,B2-024;B2-059,School project / extracurricular,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Actual sales or fundraising require separate legal and school authorisation,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,2026-09-22
CM-006,S01,pod C.4.3.,4: SŠ early years,Financial institutions and services,B3-003;B3-004;B3-005;B3-006,Cross-curricular / entrepreneurship,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Check programme length and detailed expectations; do not recommend financial products,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,2026-09-22
CM-007,S01,pod C.5.2.;pod C.5.3.,5: SŠ later years,Use of financial services and precautions against financial crime,B3-003;B3-004;B3-044,Cross-curricular / entrepreneurship,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Source presents codes jointly; exact assessment split must be confirmed by teacher,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,2026-09-22
CM-008,S01,pod B.5.1.,5: SŠ later years,Develop an entrepreneurial idea toward implementation,B3-011;B3-058,Project-based learning,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Fictional planning contributes to expectation; does not replace real authorised implementation,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,2026-09-22
CM-009,S02,osr B.1.1.,1: OŠ 1-2,Recognise other people's needs and feelings,B1-029;B1-036,Class meeting / integrated lesson,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval","Assess respectful behaviour, never require personal disclosure",Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
CM-010,S02,osr B.1.2.,1: OŠ 1-2,Communication skills,B1-031;B1-032,Class meeting / Croatian,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Provide nonverbal and supported communication options,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
