Task_ID,Phase,Workstream,Applies_To,Task,Step_By_Step,Owner_Role,Depends_On,Planned_Start,Planned_End,Planning_Week_Start,Planning_Week_End,Effort_Hours_Estimate,Priority,Deliverable,Acceptance_Criteria,Gate,Status,Source_IDs,Source_URLs
STR-01,01 Foundation,Strategy,Series,Freeze the series promise and exclusions,"1) Review all three age bands; 2) agree practical independence plus help-seeking promise; 3) exclude certification, political persuasion and guaranteed school adoption",Series producer,,2026-09-28,2026-10-02,1,1,3-5,P0,One-page series charter,Three distinct age bands; common identity; trade-first route; excluded claims documented,G0 Charter,NOT STARTED - proposed plan,,
LEG-01,02 Governance,Legal,Series,Commission publishing and school-route legal review,1) Provide planned SKUs and sales channels; 2) ask about natural-person publishing versus recurring trade; 3) review school-material restrictions and current amendments,Publisher counsel,,2026-09-28,2026-10-09,1,2,4-8,P0,Written legal issue checklist,"ISBN eligibility, commerce eligibility and school approval treated separately",,NOT STARTED - proposed plan,S15;S16;S17;S24,https://narodne-novine.nn.hr/clanci/sluzbeni/2025_07_105_1477.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://nsk.hr/nakladnici/hrvatski-ured-za-isbn/
CUR-01,03 Curriculum,Evidence,Series,Establish the source and version register,"1) Review the 34 seed sources; 2) archive dated official text references; 3) label enacted, guidance, experimental and unknown; 4) assign review owners",Curriculum lead,,2026-09-28,2026-10-09,1,2,6-10,P1,Versioned evidence register,Each substantive external claim traceable; seed references are not full technical validation,,NOT STARTED - proposed plan,S01;S08;S17,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://mzom.gov.hr/print.aspx?id=7472&url=print | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/
STR-02,01 Foundation,Strategy,Series,"Confirm readers, buyers and actual launch scope","1) Separate child reader, parent buyer and institutional user; 2) prioritise Book 1 plus essential printables; 3) defer app, full videos and physical decks",Series producer,STR-01,2026-10-05,2026-10-09,2,2,4-6,P1,Audience and scope decision,Core and deferred products explicitly marked; no assumption about user budget,,NOT STARTED - proposed plan,,
STR-03,01 Foundation,Research,Series,Audit comparable Croatian and translated products,"1) Examine 12 relevant available titles/resources; 2) record age, contents, format, price and channel with dated sources; 3) compare practical exercises and gaps without copying",Market researcher,STR-01,2026-10-05,2026-10-16,2,3,10-16,P1,Dated competitor matrix,At least 12 sourced comparables; no invented sales estimates,,NOT STARTED - proposed plan,,
STR-04,01 Foundation,Research,Series,Interview buyers and educators about unmet needs,"1) Recruit a varied voluntary adult sample; 2) ask about actual past purchases and classroom preparation; 3) record objections, access constraints and willingness to try",Research lead,STR-01,2026-10-05,2026-10-23,2,4,12-20,P1,Anonymous research notes,Proposed sample: 15 caregivers and 8 educators across age bands; limitations stated; no sales promises,,NOT STARTED - proposed plan,,
STR-05,01 Foundation,Team,Series,Build the editorial and specialist roster,"1) Scope author, editor, teacher and illustrator roles; 2) seek qualified safety/health/automotive/financial reviewers; 3) verify availability and conflicts",Series producer,STR-01,2026-10-05,2026-10-23,2,4,8-14,P1,Role and quotation register,"Named contracted owners before risky work; role labels in this plan are not appointments; legal review of agency/Ministry authorship, editor and reviewer restrictions before contracting",,NOT STARTED - proposed plan,,
STR-06,01 Foundation,Finance,Series,Set a stage budget and personal cash-at-risk ceiling,1) Set available cash and time inputs; 2) cap discovery/prototype spending; 3) reserve production only after quotes; 4) base case excludes grants and school orders,Series producer and accountant,STR-01,2026-10-05,2026-10-16,2,3,4-8,P0,Approved stage-budget assumptions,Owner has accepted a maximum exposure; no estimated price presented as a supplier quote,G0 Cash cap,NOT STARTED - proposed plan,,
DSN-01,04 Design,Brand,Series,Write a three-book art-direction brief,1) Translate charter into visual principles; 2) adopt common trim/grid/spine; 3) specify maturity differences without changing identity,Art director,STR-01,2026-10-05,2026-10-09,2,2,4-6,P1,Art-direction brief,All 30 design rules accepted or deliberately revised,,NOT STARTED - proposed plan,,
STR-07,01 Foundation,Finance,Series,Obtain fixed-production quotations,"1) Request editorial, Croatian proofreading, illustration, layout and expert-review quotes; 2) separate revisions and rights; 3) compare scope, not headline cost",Production manager,STR-02,2026-10-12,2026-10-30,3,5,8-12,P1,Comparable supplier quotes,At least two feasible quotes for major production services; specialist review not omitted,,NOT STARTED - proposed plan,,
